"ALOBO","Allium obtusum var. obtusum"
"ALOX","Allium oxyphilum"
"ALPA2","Allium parishii"
"ALPA11","Allium parryi"
"ALPA3","Allium parvum"
"ALPA5","Allium passeyi"
"ALPE","Allium peninsulare"
"ALPEF","Allium peninsulare var. franciscanum"
"ALPEP2","Allium peninsulare var. peninsulare"
"ALPE2","Allium perdulce"
"ALPEP","Allium perdulce var. perdulce"
"ALPL2","Allium platycaule"
"ALPL3","Allium pleianthum"
"ALPL4","Allium plummerae"
"ALPR2","Allium praecox"
"ALPU","Allium punctum"
"ALRO","Allium robinsonii"
"ALSA","Allium sanbornii"
"ALSAC","Allium sanbornii var. congdonii"
"ALSAS","Allium sanbornii var. sanbornii"
"ALSC","Allium schoenoprasum"
"ALSCS","Allium schoenoprasum var. sibiricum"
"ALSC2","Allium scilloides"
"ALSE3","Allium serra"
"ALSH2","Allium sharsmithiae"
"ALSH","Allium shevockii"
"ALSI","Allium simillimum"
"ALSI2","Allium siskiyouense"
"ALSP2","Allium speculae"
"ALST","Allium stellatum"
"ALTE","Allium textile"
"ALTO","Allium tolmiei"
"ALTOP","Allium tolmiei var. persimile"
"ALTOP2","Allium tolmiei var. platyphyllum"
"ALTOT","Allium tolmiei var. tolmiei"
"ALTR2","Allium tribracteatum"
"ALTR3","Allium tricoccum"
"ALTU","Allium tuolumnense"
"ALUN","Allium unifolium"
"ALVA","Allium validum"
"ALYO","Allium yosemitense"
"ALTE3","Allolepis texana"
"ALDI4","Allophyllum divaricatum"
"ALGI","Allophyllum gilioides"
"ALGIG","Allophyllum gilioides ssp. gilioides"
"ALGIV","Allophyllum gilioides ssp. violaceum"
"ALGL3","Allophyllum glutinosum"
"ALIN3","Allophyllum integrifolium"
"ALVI2","Allotropa virgata"
"ALHO4","Allowissadula holosericea"
"ALLO2","Allowissadula lozanii"
"ALPA14","Almutaster pauciflorus"
"ALFA4","Alnus Ãfallacina"
"ALIN2","Alnus incana"
"ALINR","Alnus incana ssp. rugosa"
"ALINT","Alnus incana ssp. tenuifolia"
"ALMA7","Alnus maritima"
"ALOB2","Alnus oblongifolia"
"ALRH2","Alnus rhombifolia"
"ALRU2","Alnus rubra"
"ALSE2","Alnus serrulata"
"ALVI5","Alnus viridis"
"ALVIC","Alnus viridis ssp. crispa"
"ALVIF","Alnus viridis ssp. fruticosa"
"ALVIS","Alnus viridis ssp. sinuata"
"ALAE","Alopecurus aequalis"
"ALAEA","Alopecurus aequalis var. aequalis"
"ALAES","Alopecurus aequalis var. sonomensis"
"ALCA4","Alopecurus carolinianus"
"ALMA8","Alopecurus magellanicus"
"ALSA3","Alopecurus saccatus"
"ALDR2","Alophia drummondii"
"ALGR2","Aloysia gratissima"
"ALGRG","Aloysia gratissima var. gratissima"
"ALGRS","Aloysia gratissima var. schulziae"
"ALMA9","Aloysia macrostachya"
"ALWR","Aloysia wrightii"
"ALFL","Alternanthera flavescens"
"ALFL5","Alternanthera flavogrisea"
"ALMA10","Alternanthera maritima"
"ALPA17","Alternanthera paronychioides"
"ALPAP","Alternanthera paronychioides var. paronychioides"
"ALAM3","Alvaradoa amorphoides"
"ALAMP2","Alvaradoa amorphoides ssp. psilophyllis"
"AMAC","Amaranthus acanthochiton"
"AMAR","Amaranthus arenicola"
"AMAU","Amaranthus australis"
"AMBI","Amaranthus bigelovii"
"AMCA","Amaranthus californicus"
"AMCA2","Amaranthus cannabinus"
"AMCR","Amaranthus crassipes"
"AMCRW","Amaranthus crassipes var. warnockii"
"AMFI","Amaranthus fimbriatus"
"AMFL3","Amaranthus floridanus"
"AMGR2","Amaranthus greggii"
"AMHY","Amaranthus hybridus"
"AMOB","Amaranthus obcordatus"
"AMPA","Amaranthus palmeri"
"AMPO","Amaranthus polygonoides"
"AMPO2","Amaranthus powellii"
"AMPOB2","Amaranthus powellii ssp. bouchonii"
"AMPOP","Amaranthus powellii ssp. powellii"
"AMPR","Amaranthus pringlei"
"AMPU2","Amaranthus pumilus"
"AMRE","Amaranthus retroflexus"
"AMSC","Amaranthus scleropoides"
"AMSP","Amaranthus spinosus"
"AMTE9","Amaranthus Ãtexensis"
"AMTO6","Amaranthus torreyi"
"AMTU","Amaranthus tuberculatus"
"AMTU2","Amaranthus Ãtucsonensis"
"AMVE2","Amaranthus venulosus"
